"future","playerID","firstName","lastName","name","team","logo","playerURL","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","circasports_odds","circasports_line","circasports_mult","circasports_winPct","circasports_win","circasports_odds_under","circasports_mult_under","circasports_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Rookie","6548","Cooper","Flagg","Cooper Flagg","DAL","https://content.rotowire.com/images/teamlogo/basketball/100DAL.png?v=10","/betting/nba/player/cooper-flagg-odds-6548","-700","0.0",0.142857142857143,"78.5","2.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","-700","0.0",0.142857142857143,NA,"2.86",2026-07-04
"Rookie","6923","Cameron","Boozer","Cameron Boozer","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/cameron-boozer-odds-6923",NA,NA,NA,NA,NA,NA,NA,NA,"240","0.0",2.4,"22.1","48.00",NA,NA,NA,"240","0.0",2.4,"23.7","48.00",NA,NA,NA,"250","0.0",2.5,"22.1","50.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"260","0.0",2.6,"22.6","52.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","260","0.0",2.6,NA,"52.00",2026-07-04
"Rookie","6540","Kon","Knueppel","Kon Knueppel","CHA","https://content.rotowire.com/images/teamlogo/basketball/100CHA.png?v=10","/betting/nba/player/kon-knueppel-odds-6540","350","0.0",3.5,"19.9","70.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","350","0.0",3.5,NA,"70.00",2026-07-04
"Rookie","6934","Jaylin","Sellers","Jaylin Sellers","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/jaylin-sellers-odds-6934",NA,NA,NA,NA,NA,NA,NA,NA,"320","0.0",3.2,"17.9","64.00",NA,NA,NA,"400","0.0",4,"16.1","80.00",NA,NA,NA,"400","0.0",4,"15.5","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"300","0.0",3,"20.4","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","400","0.0",4,NA,"80.00",2026-07-04
"Rookie","6924","Darryn","Peterson","Darryn Peterson","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/darryn-peterson-odds-6924",NA,NA,NA,NA,NA,NA,NA,NA,"350","0.0",3.5,"16.7","70.00",NA,NA,NA,"400","0.0",4,"16.1","80.00",NA,NA,NA,"400","0.0",4,"15.5","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"550","0.0",5.5,"12.5","110.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","550","0.0",5.5,NA,"110.00",2026-07-04
"Rookie","6931","Darius","Acuff","Darius Acuff","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=10","/betting/nba/player/darius-acuff-odds-6931",NA,NA,NA,NA,NA,NA,NA,NA,"550","0.0",5.5,"11.6","110.00",NA,NA,NA,"450","0.0",4.5,"14.7","90.00",NA,NA,NA,"450","0.0",4.5,"14.1","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"650","0.0",6.5,"10.9","130.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","650","0.0",6.5,NA,"130.00",2026-07-04
"Rookie","6926","Caleb","Wilson","Caleb Wilson","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/caleb-wilson-odds-6926",NA,NA,NA,NA,NA,NA,NA,NA,"1000","0.0",10,"6.8","200.00",NA,NA,NA,"950","0.0",9.5,"7.7","190.00",NA,NA,NA,"600","0.0",6,"11.1","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"650","0.0",6.5,"10.9","130.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2026-07-04
"Rookie","6929","Mikel","Brown","Mikel Brown","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=10","/betting/nba/player/mikel-brown-odds-6929",NA,NA,NA,NA,NA,NA,NA,NA,"1400","0.0",14,"5.0","280.00",NA,NA,NA,"1500","0.0",15,"5.0","300.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","2000","0.0",20,NA,"400.00",2026-07-04
"Rookie","6562","Yaxel","Lendeborg","Yaxel Lendeborg","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=10","/betting/nba/player/yaxel-lendeborg-odds-6562",NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.4","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-07-04
"Rookie","6928","Keaton","Wagler","Keaton Wagler","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=10","/betting/nba/player/keaton-wagler-odds-6928",NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.9","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2200","0.0",22,"3.5","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2026-07-04
"Rookie","6967","Brayden","Burries","Brayden Burries","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/brayden-burries-odds-6967",NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.2","1,200.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.3","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","6000","0.0",60,NA,"1,200.00",2026-07-04
